16	11	88	32	25	0	70	78	73	61	90	89	46	95	6	33	34	21	14	22	0
76	63	18	44	84	11	55	93	8	29	82	62	17	64	24	14	37	97	49	51	0
34	8	10	11	99	28	67	20	55	74	45	48	85	91	79	57	47	22	17	54	0
14	67	12	55	25	60	51	30	41	35	78	83	93	64	98	39	44	49	5	63	0
39	32	65	8	51	42	17	92	43	71	28	73	98	69	59	54	20	87	99	0	0
48	12	24	76	33	58	27	13	93	42	35	74	17	72	73	47	75	30	20	80	0
97	19	94	23	85	39	50	59	46	45	99	36	70	64	92	3	56	18	6	73	3
19	41	26	65	47	75	5	94	10	0	59	33	99	57	84	11	74	83	7	53	0
73	36	21	98	30	17	70	60	67	22	29	0	3	10	7	32	9	1	69	77	2
47	42	51	28	25	81	34	41	8	60	86	38	65	55	63	79	9	87	95	98	1
16	54	53	93	46	87	79	24	14	83	34	58	74	8	94	78	51	71	64	35	0
89	81	37	16	56	63	5	21	22	49	20	36	39	32	65	10	88	28	52	43	0
75	84	0	79	32	42	76	58	2	47	59	82	3	66	91	6	35	56	68	88	0
83	36	85	43	3	52	30	59	97	76	13	11	29	4	37	40	86	55	81	18	1
14	12	13	54	92	38	26	31	5	48	4	29	73	97	15	22	19	41	65	94	0
91	57	59	49	94	1	45	51	73	16	13	46	48	63	10	12	78	11	22	29	2
98	39	38	29	43	78	19	97	92	79	1	37	47	30	96	59	13	31	22	61	1
92	34	69	85	16	97	47	46	0	60	79	96	59	91	70	78	5	40	32	76	1
67	31	86	8	53	82	94	36	21	0	25	13	11	77	98	33	48	10	18	99	1
84	72	59	90	97	30	75	26	42	55	31	93	71	65	61	60	70	43	51	20	0
71	54	67	38	59	16	89	2	92	77	45	75	7	73	26	99	97	29	41	8	2
13	94	0	5	37	56	84	85	93	11	38	29	41	23	33	42	49	95	45	79	0
77	4	41	53	28	17	40	19	99	24	26	18	32	78	60	64	37	25	89	31	0
95	42	13	66	48	46	51	75	43	49	32	1	11	50	23	94	41	45	59	86	0
98	48	85	5	21	73	95	49	64	46	45	94	88	47	59	31	19	82	93	92	1
33	81	42	51	66	78	19	92	13	88	53	15	3	5	27	4	30	48	32	49	0
3	56	86	84	31	58	59	32	61	6	21	91	82	75	16	71	98	19	39	1	0
85	37	96	5	89	64	24	67	68	49	54	33	73	65	57	60	45	44	56	41	3
84	11	42	96	5	29	9	27	86	87	61	68	78	69	85	1	2	53	74	93	0
79	33	0	15	60	5	61	23	97	40	29	34	42	43	71	24	36	49	22	72	0
15	7	52	94	24	64	73	35	14	10	53	44	0	68	48	8	1	79	13	43	1
5	20	29	49	12	83	23	28	41	80	79	42	95	67	94	66	92	39	76	17	0
49	13	82	93	14	52	34	11	6	23	90	76	60	28	71	56	39	86	33	12	1
66	45	77	82	61	24	23	28	51	20	19	89	44	54	9	58	2	14	79	12	4
23	48	85	47	88	12	11	42	99	67	22	4	14	49	28	54	53	8	36	60	0
71	56	58	5	16	17	85	86	65	50	88	76	78	57	43	69	51	55	9	89	0
44	43	74	73	99	1	20	3	82	97	98	50	9	55	17	35	38	21	52	6	3
56	4	58	55	30	35	66	36	57	2	11	20	83	99	12	53	61	49	23	98	1
84	24	17	26	33	57	78	70	72	2	0	5	38	30	81	52	44	9	11	18	3
55	74	7	5	62	9	77	57	80	41	83	16	90	67	51	8	99	86	43	25	1
98	50	37	33	47	4	86	64	26	82	29	58	11	9	71	77	22	41	52	65	1
12	18	48	74	75	29	35	41	83	64	3	80	86	89	67	73	99	21	20	47	1
17	54	93	31	96	32	8	94	18	39	30	53	75	77	86	90	58	84	6	19	0
78	15	40	28	32	87	36	52	44	72	23	38	80	18	54	0	81	77	8	99	0
3	33	74	80	18	70	90	24	1	30	67	69	37	68	42	57	14	41	86	0	1
5	2	98	97	28	50	93	94	24	12	78	25	63	45	0	9	81	32	31	41	0
7	21	18	95	80	75	10	78	31	96	50	11	92	42	89	97	82	70	34	39	0
34	64	15	14	37	13	56	0	30	5	98	9	68	47	45	35	88	18	74	70	2
29	45	50	85	86	55	21	80	61	81	79	40	44	62	37	95	83	97	88	31	1
34	20	26	24	73	68	6	54	8	40	28	0	27	71	30	66	82	39	43	42	1
41	21	1	53	10	83	3	98	16	89	51	82	40	46	60	75	63	47	57	4	0
85	50	81	9	53	26	89	87	31	18	65	37	80	45	73	99	69	6	1	13	2
56	8	28	42	82	18	12	41	10	34	86	49	59	32	62	95	21	50	39	6	2
97	88	23	98	6	87	45	22	18	43	56	40	17	38	74	94	15	53	91	86	0
97	37	5	4	96	26	44	49	40	99	50	89	54	3	64	63	32	74	67	73	0
82	74	88	92	47	56	28	60	30	24	12	16	91	31	8	35	36	17	80	63	0
41	67	98	58	85	79	64	44	9	78	93	83	73	97	50	5	28	2	95	25	3
8	80	92	23	25	22	78	85	48	95	16	19	13	74	90	11	51	61	56	66	0
27	81	92	63	14	83	35	96	7	89	45	76	56	53	52	94	20	91	16	30	1
60	76	4	41	88	12	14	42	22	17	87	93	45	40	26	67	68	43	47	2	0
64	60	84	70	68	6	0	53	40	74	88	27	26	61	30	14	35	34	55	51	1
33	32	66	43	44	31	27	19	20	14	24	62	49	61	9	81	36	41	25	23	1
82	52	78	24	74	91	92	41	54	47	69	1	99	36	65	48	57	33	3	18	0
6	54	38	21	93	66	5	9	69	47	16	37	85	98	84	68	29	51	11	3	0
98	83	72	23	79	7	69	14	8	58	21	39	18	1	27	45	31	86	11	92	0
16	54	76	92	62	99	38	4	66	36	23	88	14	94	33	17	57	78	44	26	2
14	64	46	62	9	18	76	7	50	25	49	91	26	89	85	3	36	98	94	75	1
82	8	28	88	3	46	78	94	32	54	71	6	23	5	24	25	45	22	57	53	0
55	0	95	45	94	15	72	34	76	24	69	73	98	58	86	30	29	14	1	83	0
17	44	89	66	90	80	38	94	81	12	46	30	83	41	91	13	0	39	47	33	0
39	30	66	69	24	81	90	61	94	59	44	53	73	36	63	46	55	50	27	11	0
74	93	0	35	31	25	16	11	39	52	68	70	87	64	47	90	45	8	9	20	1
81	39	50	94	69	18	91	92	73	11	71	99	83	59	41	98	93	74	14	30	2
13	48	53	99	11	96	57	71	92	17	42	28	40	24	49	87	41	61	46	43	1
98	64	87	78	15	73	37	85	1	95	94	76	48	26	59	57	11	27	38	39	0
0	22	61	80	96	31	30	7	67	48	29	56	10	55	68	50	6	52	86	18	0
56	98	38	83	31	85	80	28	0	2	89	16	41	76	5	7	32	27	91	49	0
83	87	94	72	71	86	33	29	84	41	24	81	21	46	7	53	45	36	63	67	0
30	20	51	85	15	26	86	9	87	37	7	2	67	43	47	77	4	3	55	38	0
0	91	20	50	88	22	6	17	41	86	42	81	55	93	30	77	98	36	12	95	3
16	83	92	39	23	97	67	14	65	74	68	87	30	63	86	94	52	43	47	33	4
64	14	48	42	79	6	53	62	69	52	22	21	85	1	93	90	59	47	49	88	0
30	83	71	13	45	44	37	40	76	74	51	11	65	4	85	50	79	0	61	43	2
19	45	65	16	95	68	88	57	11	22	42	3	81	25	4	8	50	12	55	2	1
92	63	31	60	45	47	84	23	25	71	58	2	4	13	44	7	30	51	36	10	2
87	1	26	42	71	96	33	45	19	38	51	61	60	98	24	64	99	47	59	14	0
17	24	87	15	47	53	43	83	51	96	54	59	99	42	85	93	30	98	67	6	0
76	95	30	46	77	84	66	47	51	17	86	94	45	60	33	57	41	11	28	23	0
17	59	67	86	83	48	44	68	50	64	88	60	63	41	1	11	76	33	25	56	0
57	93	34	55	62	52	66	92	20	37	32	17	73	80	24	26	31	25	94	88	1
81	25	64	23	22	67	85	34	55	91	14	8	36	27	31	26	35	66	58	0	0
70	60	58	86	61	5	90	51	27	55	29	48	13	62	42	21	92	63	35	89	1
81	20	82	94	69	74	1	53	77	28	19	49	90	43	34	7	84	14	52	54	2
67	46	14	88	54	60	84	72	42	59	83	94	37	26	47	90	23	7	21	13	0
69	91	86	94	23	72	85	27	16	57	87	44	84	1	79	55	41	20	53	48	0
15	95	51	42	6	9	3	64	86	70	65	62	22	18	94	32	24	73	19	75	0
57	39	38	55	97	44	16	92	51	1	45	5	34	49	8	85	31	43	50	63	1
63	76	68	27	55	73	38	89	18	46	72	26	70	51	39	45	64	96	2	84	0
69	92	10	42	34	82	4	32	89	26	16	62	2	6	97	28	53	90	39	38	0
95	28	11	12	56	27	21	2	77	67	7	38	6	90	51	58	60	48	91	66	0
16	12	20	5	80	82	33	49	68	2	83	30	1	51	74	3	19	59	27	39	0
57	48	70	72	13	35	47	9	11	62	64	94	89	76	91	24	95	85	21	4	2
45	35	97	85	92	25	26	61	91	99	77	32	95	58	5	29	24	72	86	30	1
41	65	35	71	37	7	33	20	53	50	44	17	10	23	85	49	68	64	31	70	0
93	15	54	23	0	10	4	86	34	1	28	2	87	25	76	9	3	48	72	41	0
72	9	15	97	21	1	75	55	82	88	29	78	12	87	77	25	40	20	68	10	0
40	54	13	45	26	38	61	33	64	91	6	53	75	30	62	69	22	18	36	34	0
1	25	85	90	86	44	67	41	59	97	48	35	32	18	61	62	9	28	53	43	0
80	16	0	77	92	98	13	89	6	19	29	1	50	79	94	49	65	39	20	40	0
75	72	66	30	62	35	21	39	67	92	61	65	23	13	16	63	53	1	81	22	0
25	96	30	44	32	18	58	7	82	71	41	79	86	98	61	52	56	59	72	88	0
57	10	94	74	24	60	0	9	67	61	63	78	37	15	47	97	58	18	51	88	0
11	34	36	84	37	27	71	81	31	83	52	13	88	41	32	87	91	17	38	4	1
80	74	25	44	71	48	32	1	88	17	50	76	49	27	7	29	91	90	13	11	2
17	26	19	63	9	31	72	10	84	47	39	32	40	30	88	92	38	2	23	56	0
46	83	3	82	21	56	4	11	80	64	92	35	45	59	8	31	53	7	39	47	0
23	65	64	42	45	14	73	25	37	99	66	74	46	30	31	0	67	2	48	36	0
32	23	83	11	90	60	74	33	63	82	12	53	29	56	14	2	65	15	92	41	1
41	55	5	3	38	8	87	36	69	25	29	82	81	79	45	50	64	73	52	2	1
9	27	19	29	47	11	77	61	10	12	94	84	35	56	31	74	21	2	48	75	0
